,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Days to Deliver
2682,SCMS-188650,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-05-03,5/15/2013,2014-01-09,2014-01-09,2014-01-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,11092,74871.0,6.75,0.11,Mylan (formerly Matrix) Nashik,Yes,957.0,1869.41,92.62,251 days 00:00:00.000000000
2684,SCMS-138620,Haiti,PMO - US,Direct Drop,EXW,Air,2012-01-06,2/24/2012,2012-06-12,2012-06-12,2012-06-12,ARV,Pediatric,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 30/50/6mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,30/50/6mg,Chewable/dispersible tablet - FDC,60,298,685.4,2.3,0.04,"Cipla, Goa, India",Yes,21.0,304.62,0.96,158 days 00:00:00.000000000
2686,SCMS-263040,Mozambique,PMO - US,Direct Drop,FCA,Air,2014-10-28,11/7/2014,2015-04-15,2015-04-15,2015-04-15,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",Ritonavir,Norvir,100mg,Tablet,60,400,2740.0,6.85,0.11,ABBVIE Ludwigshafen Germany,Yes,62.0,642.99,3.22,169 days 00:00:00.000000000
2690,SCMS-226220,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-02-06,3/10/2014,2014-07-29,2014-07-29,2014-08-06,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,5300,18550.0,3.5,0.12,Hetero Unit III Hyderabad IN,Yes,2922.0,5616.02,19.07,173 days 00:00:00.000000000
2691,SCMS-103410,South Africa,PMO - US,Direct Drop,DDP,Ocean,2011-03-10,3/24/2011,2011-09-14,2011-10-27,2011-10-27,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,54768,133633.92,2.44,0.08,"Aurobindo Unit III, India",Yes,3237.0,10923.46,220.5,231 days 00:00:00.000000000
2692,SCMS-259075,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,5/11/2015,2015-05-12,2015-05-12,2015-05-12,ARV,Adult,PHARMACY DIRECT,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,25,1246.3,49.85,0.83,"Aurobindo Unit III, India",Yes,4306.83476898982,11462.107118413907,1.28,243 days 00:00:00.000000000
2693,SCMS-238550,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-04-30,5/8/2014,2015-02-19,2015-02-19,2015-02-19,ARV,Adult,PHARMACY DIRECT,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,3,206.97,68.99,1.15,"Aurobindo Unit III, India",Yes,4306.83476898982,11462.107118413907,0.21,295 days 00:00:00.000000000
2694,SCMS-188540,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-05-03,5/10/2013,2013-10-11,2013-10-09,2013-10-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,11500,132135.0,11.49,0.38,Mylan (formerly Matrix) Nashik,Yes,1295.0,2021.05,163.45,159 days 00:00:00.000000000
2695,SCMS-236120,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-04-08,4/30/2014,2014-09-16,2014-09-16,2014-10-01,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,16000,56800.0,3.55,0.12,Hetero Unit III Hyderabad IN,Yes,1948.0,3138.25,58.39,161 days 00:00:00.000000000
2696,SCMS-199283,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,8/27/2014,2014-08-27,2014-08-27,2014-08-27,ARV,Adult,S. BUYS WHOLESALER,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,13,438.41,33.72,1.12,"Aurobindo Unit III, India",Yes,4306.83476898982,11462.107118413907,0.54,412 days 00:00:00.000000000
