Brand,Country,Delivered.to.Client.Date,Delivery.Recorded.Date,Dosage,Dosage Form,Fulfill.Via,ID,Item.Description,Manufacturing.Site.Split,Po / So #,PO.Sent.to.Vendor.Date,PO.Sent.to.Vendor.Date (group),Pq #,PQ.First.Sent.to.Client.Date,PQ.First.Sent.to.Client.Date (group),PQ.First.Sent.to.Client.Date(group),Product.Group,Scheduled.Delivery.Date,Shipment.Mode,Sub.Classification,Vendor.INCO.Term,Vendor.Split,Freight.Cost (USD),Item.Throughput,Line.Item. Quantity,Line.Item.Insurance (USD),Line.Item.Value,Pack.Price,Unit.of.Measure (Per Pack),Unit.Price,Weight (Kilograms)
Generic,Rwanda,27/02/2007,27/02/2007,150/300mg,Tablet.FDC,Direct Drop,13,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Cipla,SCMS-268,12/22/2006,2006,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,27/02/2007,Air,Adult,EXW,CIPLA,64179.42,166.666666667,10000,45.57,99800,9.98,60,0.17,7416
Videx,Tanzania,6/06/2007,6/06/2007,2g,Powder.for.oral.solution,Direct Drop,18,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",BMS,SCMS-555,4/12/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,6/06/2007,Air,Pediatric,CIP,BRISTOL,912.96,3.56,712,45.57,8964.08,12.59,200,0.06,162
Generic,Vietnam,15/10/2007,15/10/2007,10mg/ml,Oral.suspension,Direct Drop,22,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Aurobindo,SCMS-753,7/4/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,15/10/2007,Air,Pediatric,EXW,Aurobindo,4193.49,4.166666667,1000,3.07,1920,1.92,240,0.01,941
Aluvia,Vietnam,27/08/2007,27/08/2007,200/50mg,Tablet,Direct Drop,23,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE,SCMS-759,7/4/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,27/08/2007,Air,Adult,FCA,ABBVIE,1767.38,4.166666667,500,65.75,41095,82.19,120,0.68,117
Generic,Ethiopia,20/11/2007,20/11/2007,30mg,Capsule,Direct Drop,29,"Stavudine 30mg, capsules, 60 Caps",Aurobindo,SCMS-11070,10/3/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,20/11/2007,Air,Adult,EXW,Aurobindo,12237.61,1066.666666667,64000,158.72,99200,1.55,60,0.03,4228
Viread,Vietnam,21/01/2008,21/01/2008,300mg,Tablet,Direct Drop,32,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Gilead,SCMS-14190,11/19/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,21/01/2008,Air,Adult,EXW,GILEAD,2282.57,33.333333333,1000,27.2,17000,17,30,0.57,76
Generic,Vietnam,21/01/2008,21/01/2008,300mg,Tablet,Direct Drop,33,"Zidovudine 300mg, tablets, 60 Tabs",Ranbaxy,SCMS-14200,11/21/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,21/01/2008,Air,Adult,EXW,SUN,2149.05,6.666666667,400,5.36,3352,8.38,60,0.14,23
Generic,Vietnam,3/06/2008,3/06/2008,600mg,Tablet,Direct Drop,46,"Efavirenz 600mg, tablets, 30 Tabs",Mylan,SCMS-19490,3/31/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,3/06/2008,Air,Adult,EXW,MYLAN,4051.34,280,8400,154.29,96432,11.48,30,0.38,654
Videx,Vietnam,12/07/2008,12/07/2008,25mg,Chewable.tablet,Direct Drop,49,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",BMS,SCMS-20310,3/31/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,12/07/2008,Air,Pediatric,CIP,BRISTOL,2211.05,6.666666667,400,4.48,2800,7,60,0.12,81
Generic,Vietnam,19/09/2008,19/09/2008,300mg,Tablet,Direct Drop,54,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Mylan,SCMS-23450,5/14/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,19/09/2008,Air,Adult,EXW,MYLAN,13507.92,44.8,1344,29.37,18359.04,13.66,30,0.46,1537
