Brand,Client.Delivery.Date,Country,Dosage,Dosage.Form,Fulfill.Via,INCO,Manufacture.Site,Molecule.Type,PO.Vendor.Date.Group,PO/SO#,PQ#,PQ.Client.Date.Group,Product.Group,Rec.Delivery.Data,Sch.Delivery.Date,Shipment.Mode,Sub.Classification,Vendor.Name,Freight.Cost,Item.Throuhput,Line.Item.Insurance,Line.Item.Qty,Line.Item.Value,Pack.Price,Unit.Measure.Per.Pack,Unit.Price,Weight.KG
Generic,2/27/2007,Rwanda,150/300mg,Tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Zidovudine,2006,SCMS-268,Pre.PQ,Pre-PQ Process,ARV,2/27/2007,2/27/2007,Air,Adult,CIPLA,64179.42,166.666666667,45.57,10000,99800,9.98,60,0.17,7416
Videx,6/6/2007,Tanzania,2g,Powder for oral solution,Direct Drop,CIP,BMS,Didanosine,2007,SCMS-555,Pre.PQ,Pre-PQ Process,ARV,6/6/2007,6/6/2007,Air,Pediatric,BRISTOL-MYERS,912.96,3.56,45.57,712,8964.08,12.59,200,0.06,162
Generic,10/15/2007,Vietnam,10mg/ml,Oral suspension,Direct Drop,EXW,Aurobindo,Nevirapine,2007,SCMS-753,Pre.PQ,Pre-PQ Process,ARV,10/15/2007,10/15/2007,Air,Pediatric,Aurobindo,4193.49,4.166666667,3.07,1000,1920,1.92,240,0.01,941
Aluvia,8/27/2007,Vietnam,200/50mg,Tablet,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2007,SCMS-759,Pre.PQ,Pre-PQ Process,ARV,8/27/2007,8/27/2007,Air,Adult,ABBVIE,1767.38,4.166666667,65.75,500,41095,82.19,120,0.68,117
Generic,11/20/2007,Ethiopia,30mg,Capsule,Direct Drop,EXW,Aurobindo,Stavudine,2007,SCMS-11070,Pre.PQ,Pre-PQ Process,ARV,11/20/2007,11/20/2007,Air,Adult,Aurobindo,12237.61,1066.666666667,158.72,64000,99200,1.55,60,0.03,4228
Viread,1/21/2008,Vietnam,300mg,Tablet,Direct Drop,EXW,Gilead,Tenofovir Disoproxil Fumarate,2007,SCMS-14190,Pre.PQ,Pre-PQ Process,ARV,1/21/2008,1/21/2008,Air,Adult,GILEAD,2282.57,33.333333333,27.2,1000,17000,17,30,0.57,76
Generic,1/21/2008,Vietnam,300mg,Tablet,Direct Drop,EXW,Ranbaxy,Zidovudine,2007,SCMS-14200,Pre.PQ,Pre-PQ Process,ARV,1/21/2008,1/21/2008,Air,Adult,SUN,2149.05,6.666666667,5.36,400,3352,8.38,60,0.14,23
Generic,6/3/2008,Vietnam,600mg,Tablet,Direct Drop,EXW,Mylan,Efavirenz,2008,SCMS-19490,Pre.PQ,Pre-PQ Process,ARV,6/3/2008,6/3/2008,Air,Adult,MYLAN,4051.34,280,154.29,8400,96432,11.48,30,0.38,654
Videx,7/12/2008,Vietnam,25mg,Chewable/dispersible tablet,Direct Drop,CIP,BMS,Didanosine,2008,SCMS-20310,Pre.PQ,Pre-PQ Process,ARV,7/12/2008,7/12/2008,Air,Pediatric,BRISTOL-MYERS,2211.05,6.666666667,4.48,400,2800,7,60,0.12,81
Generic,9/19/2008,Vietnam,300mg,Tablet,Direct Drop,EXW,Mylan,Tenofovir Disoproxil Fumarate,2008,SCMS-23450,Pre.PQ,Pre-PQ Process,ARV,9/19/2008,9/19/2008,Air,Adult,MYLAN,13507.92,44.8,29.37,1344,18359.04,13.66,30,0.46,1537
